atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_FD,scout_I,scout_DS,scout_FF,scout_FS,scout_CA,scout_FC,scout_GS,scout_G,scout_A,scout_DE,scout_V,scout_FT
100084,Igor Gomes,CAM,Meia,1.1,True,1.0,1.0,,,,,,,,,,,
100596,Krovinovic,GRE,Meia,2.8,True,,,1.0,1.0,1.0,,,,,,,,
100987,Nonato,FLU,Meia,4.0,True,,,2.0,,2.0,,,,,,,,
101393,Eduardo Doma,CHA,Zagueiro,-1.6,True,,,,,,1.0,2.0,,,,,,
101960,Vitinho,INT,Atacante,3.4,True,,,2.0,,2.0,,2.0,,,,,,
102255,Santiago Sosa,VAS,Meia,0.9,True,,,1.0,,,,2.0,,,,,,
102906,Anderson,CHA,Goleiro,-1.0,True,,,,,,,,1.0,,,,,
102928,Canobbio,FLU,Atacante,4.7,True,,,3.0,,1.0,,1.0,,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,,,,,,
104470,Everton,CHA,Lateral,2.5,True,,,1.0,1.0,1.0,,1.0,,,,,,
104519,Camilo,CHA,Meia,4.5,True,,,3.0,,,,,,,,,,
105068,Reinier,CAM,Meia,14.2,True,1.0,,3.0,,1.0,,,,1.0,,,,
105089,Tetê,GRE,Atacante,7.0,True,1.0,,3.0,1.0,1.0,,,,,,,,
105157,Villagra,INT,Meia,3.5,True,,,2.0,,1.0,,,,,,,,
105563,Carlos Vinícius,GRE,Atacante,1.4,True,1.0,,,,1.0,,1.0,,,,,,
105584,Lucas Piton,VAS,Lateral,-0.6,True,,,,,,,2.0,,,,,,
106104,Enamorado,GRE,Atacante,0.7,True,,,,,2.0,,1.0,,,,,,
106202,Bruno Gomes,INT,Meia,2.0,True,,,1.0,,1.0,,,,,,,,
106907,Rafael Lacerda,CHA,Técnico,2.5,True,,,,,,,,,,,,,
107554,Natanael,CAM,Lateral,8.0,True,,,5.0,,1.0,,,,,,,,
107989,Carbonero,INT,Atacante,4.2,True,,,,,1.0,1.0,1.0,,,1.0,,,
108131,Garcez,CHA,Atacante,10.5,True,,,1.0,1.0,1.0,,1.0,,1.0,,,,
108162,Nardoni,GRE,Meia,2.5,True,,,1.0,,2.0,,,,,,,,
109097,Jovane Cabral,GRE,Atacante,4.0,True,,,2.0,,2.0,,,,,,,,
109114,Matheus Nascimento,GRE,Atacante,1.2,True,1.0,,,,,,,,,,,,
110426,Bernabei,INT,Lateral,0.2,True,,,,,1.0,,1.0,,,,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,,,
111682,Adson,VAS,Meia,3.6,True,,,1.0,2.0,1.0,,,,,,,,
111690,Matheus Cunha,INT,Goleiro,-1.0,True,,,,,,,,1.0,,,,,
113034,Freytes,FLU,Zagueiro,1.2,True,1.0,,,,,,,,,,,,
114323,Colidio,VAS,Atacante,12.2,True,1.0,1.0,1.0,,5.0,,3.0,,1.0,,,,
115479,Paulo Pezzolano,INT,Técnico,2.03,True,,,,,,,,,,,,,
115674,Gabriel Delfim,CAM,Goleiro,1.6,True,,,,,,,,1.0,,,2.0,,
116065,Cuiabano,VAS,Lateral,5.2,True,,,4.0,1.0,,1.0,2.0,,,,,,
116447,Hércules,FLU,Meia,2.0,True,,,1.0,,1.0,,,,,,,,
116706,Andrés Gómez,VAS,Atacante,5.3,True,,,3.0,1.0,,,,,,,,,
117330,Robert Renan,VAS,Zagueiro,5.2,True,,,4.0,1.0,,1.0,2.0,,,,,,
122121,Túlio Eduardo,CHA,Atacante,-0.5,True,,2.0,,,,,1.0,,,,,,
122670,Diego Caito,GRE,Lateral,7.1,True,2.0,,3.0,,3.0,1.0,1.0,,,,,,
124424,Rodrigo Castillo,FLU,Atacante,6.8,True,,,,,2.0,1.0,4.0,,1.0,,,,
124552,Lescano,VAS,Meia,3.0,True,,,2.0,,,,,,,,,,
124961,Castaño,CAM,Meia,2.4,True,1.0,,1.0,,,,1.0,,,,,,
126182,Paulinho,INT,Meia,-0.1,True,,,,,1.0,,2.0,,,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,,
127932,Júlio Fidelis,FLU,Lateral,11.7,True,,,8.0,,,,1.0,,,,,,
128177,Pedro Emanuel,VAS,Técnico,6.75,True,,,,,,,,,,,,1.0,
130048,Noriega,GRE,Zagueiro,-1.2,True,,,,,,,4.0,,,,,,
130307,Wallace,GRE,Zagueiro,3.2,True,,,3.0,,,1.0,1.0,,,,,,
